start_frame;stop_frame;narration
380;775;add_oil
855;1180;add_vinegar
1195;1325;add_pepper
1345;1510;add_salt
1530;1905;mix_dressing
1995;2850;peel_cucumber
1995;8230;cut_and_mix_ingredients
2860;2950;place_cucumber_into_bowl
2955;3745;cut_cucumber
3745;3930;place_cucumber_into_bowl
3920;5000;cut_tomato
4955;5135;place_tomato_into_bowl
5140;5955;cut_tomato
5950;6215;place_tomato_into_bowl
6230;6705;cut_cheese
6705;6895;place_cheese_into_bowl
6975;7725;cut_lettuce
7735;7885;place_lettuce_into_bowl
7890;7900;mix_ingredients_prep
7900;8215;mix_ingredients_core
8215;8230;mix_ingredients_post
8345;8835;serve_salad_onto_plate
8345;9250;serve_salad
8850;9250;add_dressing
