start_frame;stop_frame;narration
78;454;prepare_dressing
127;198;add_salt
206;252;add_pepper
257;328;add_vinegar
331;410;add_oil
410;445;mix_dressing
462;558;cut_cheese
462;1766;cut_and_mix_ingredients
558;777;cut_cheese
777;888;cut_tomato
897;1287;peel_cucumber
1321;1493;cut_cucumber
1493;1574;place_cucumber_into_bowl
1574;1589;place_tomato_into_bowl
1590;1604;place_cucumber_into_bowl
1607;1723;cut_lettuce
1723;1766;place_lettuce_into_bowl
1767;1797;add_dressing
1767;1834;serve_salad
1797;1834;add_dressing
1847;1872;mix_ingredients
1847;1917;cut_and_mix_ingredients
1872;1917;mix_ingredients
1917;1925;serve_salad_onto_plate
1917;2016;serve_salad
1925;2016;serve_salad_onto_plate
