start_frame;stop_frame;narration
0;194;idle_start
194;604;grate_cucumber
604;614;transition_between_ingredients
614;3494;cut_tomato
3494;3524;transition_between_ingredients
3524;5534;cut_cheese
5534;5564;transition_between_ingredients
5564;7064;cut_lettuce
7064;7154;transition_to_dressing
7154;7604;add_dressing
7604;7694;transition_between_dressings
7694;7964;add_salt
7964;8024;transition_between_dressings
8024;8624;add_pepper
8624;8654;transition_between_dressings
8654;8894;add_olive_oil
8894;8924;transition_between_dressings
8924;9224;add_seasoning
9224;9254;transition_before_mixing
9254;10364;mix_salad
10364;10724;idle_after_mixing
10724;10934;clean_cutting_board
10934;11174;put_away_ladle
11174;11394;put_away_peeler
11394;11686;put_away_grater
