start_frame;stop_frame;narration
0;193;setup_workspace
194;223;use_pepper_mill
224;253;take_salt_shaker
254;283;use_salt_shaker
284;300;place_salt_shaker
300;359;take_dressing_bottle
360;463;shake_dressing_bottle
464;523;place_dressing_bottle
524;613;pick_tomato
614;703;position_tomato_on_board
704;823;half_cut_tomato
824;883;reposition_tomato
884;2233;slice_tomato
2234;2353;transfer_sliced_tomato_to_bowl
2354;3313;slice_and_transfer_tomato
3314;3403;clear_cutting_board_of_tomato
3404;3493;move_knife
3494;5553;cut_cheese
3494;3583;pick_cheese
3584;3673;unwrap_cheese
3674;3763;place_cheese_on_board
3764;5383;slice_cheese
5384;5473;transfer_sliced_cheese_to_bowl
5474;5553;clear_cutting_board_of_cheese
5554;5643;move_knife
5644;5733;pick_lettuce
5734;5823;unwrap_lettuce
5824;5913;place_lettuce_on_board
5914;6643;chop_lettuce
6644;7013;transfer_chopped_lettuce_to_bowl
7014;7093;move_knife
7094;7183;pick_crouton_package
7184;7273;open_crouton_package
7274;7363;pour_croutons_into_bowl
7364;7443;place_crouton_package
7444;7503;pick_dressing_bottle
7504;7593;open_dressing_bottle
7594;7683;place_dressing_bottle
7684;7773;pick_pepper_mill
7774;7863;grind_pepper_into_bowl
7864;7953;place_pepper_mill
7954;8043;pick_salad_dressing
8044;8133;pour_salad_dressing_into_bowl
8134;8223;place_salad_dressing
8224;8313;pick_salt_shaker
8314;8403;shake_salt_into_bowl
8404;8493;place_salt_shaker
8494;8583;pick_olive_oil
8584;8673;pour_olive_oil_into_bowl
8674;8893;place_olive_oil
8894;8953;pick_mixing_utensil_1
8954;9033;pick_mixing_utensil_2
9034;9123;prepare_to_mix
9124;10213;toss_salad
10214;10303;place_mixing_utensils_in_bowl
10304;10383;lift_bowl
10384;10473;remove_cutting_board
10474;10563;remove_knife
10564;10653;remove_cucumber
10654;10743;remove_tomato_pieces_from_board
10744;10833;remove_cheese_packaging
10834;10923;remove_lettuce_bag
10924;11013;place_salad_bowl
11014;11103;remove_utensils_from_bowl
11104;11193;pick_pepper_mill
11194;11283;return_pepper_mill
11284;11373;pick_salt_shaker
11374;11463;return_salt_shaker
11464;11553;pick_crouton_package
11554;11643;return_crouton_package
11644;11685;final_adjustments
