start_frame;stop_frame;narration
0;163;idle
164;193;right_hand_reach
194;253;reach_for_pepper_grinder
254;304;take_pepper_grinder
305;364;move_pepper_grinder_to_bowl
365;453;grind_pepper
454;493;put_down_pepper_grinder
494;613;idle
614;663;take_tomato
664;703;take_knife
704;733;position_tomato_on_board
734;823;cut_tomato_in_half
824;1243;slice_tomato_halves
1244;2313;chop_tomato_into_pieces
2314;2353;transfer_chopped_tomato_to_bowl
2354;2533;chop_remaining_tomato
2534;2563;transfer_more_tomato_to_bowl
2564;3303;chop_tomato_finely
3304;3373;transfer_final_tomato_to_bowl
3374;3513;put_knife_on_board
3514;3573;reach_for_cheese_package
3574;3633;take_cheese_package
3634;3723;open_cheese_package
3724;3753;take_knife
3754;3903;remove_cheese_from_wrapper
3904;4023;position_cheese_on_board
4024;5013;slice_cheese
5014;5403;chop_cheese_into_cubes
5404;5493;transfer_chopped_cheese_to_bowl
5494;5553;put_knife_down
5554;5673;reach_for_lettuce_bag
5674;5703;take_lettuce_bag
5704;5763;remove_lettuce_from_bag
5764;5853;tear_lettuce_leaves
5854;6663;chop_lettuce
6664;6753;transfer_chopped_lettuce_to_bowl
6754;6903;chop_remaining_lettuce
6904;7003;transfer_final_lettuce_to_bowl
7004;7143;move_knife_aside
7144;7203;reach_for_oil_bottle
7204;7263;take_oil_bottle
7264;7353;open_oil_bottle
7354;7413;put_oil_bottle_down
7414;7473;reach_for_vinegar_bottle
7474;7503;take_vinegar_bottle
7504;7563;open_vinegar_bottle
7564;7623;put_vinegar_bottle_down
7624;7683;reach_for_pepper_grinder
7684;7743;take_pepper_grinder
7744;7793;open_pepper_grinder_top
7794;7853;adjust_pepper_grinder
7854;7943;close_pepper_grinder_top
7944;8023;put_pepper_grinder_down
8024;8163;add_oil_to_salad
8164;8223;put_oil_bottle_down
8224;8283;take_pepper_grinder
8284;8393;add_pepper_to_salad
8394;8463;put_pepper_grinder_down
8464;8583;take_salt_grinder
8584;8703;add_salt_to_salad
8704;8793;put_salt_grinder_down
8794;9003;take_and_add_croutons
9004;9063;put_croutons_bag_down
9064;9153;take_vinegar_bottle
9154;9233;add_vinegar_to_salad
9234;9303;put_vinegar_bottle_down
9304;9733;mix_salad_with_hands
9734;10293;mix_salad_with_utensil
10294;10353;lift_salad_bowl
10354;10493;move_salad_bowl_away
10494;10713;idle
10714;10953;reach_for_salad_bowl
10954;11033;bring_salad_bowl_back
11034;11073;stir_salad_briefly
11074;11163;move_salad_bowl_aside
11164;11243;reach_for_cutting_board_objects
11244;11393;examine_pepper_grinder
11394;11493;put_pepper_grinder_down
11494;11685;idle
