start_frame;stop_frame;narration
0;193;person_stands_inactive
194;205;reach_for_grinder
206;235;pick_up_grinder
236;259;open_grinder
260;339;grind_seasoning
340;375;close_grinder
376;419;place_grinder
420;613;person_inactive
614;634;pick_up_tomato
635;654;place_tomato_on_board
655;689;pick_up_knife
690;774;cut_tomato_in_half
775;819;reposition_tomato_halves
820;1024;slice_tomato_halves
1025;1164;dice_tomato_first_pile
1165;1304;dice_tomato_second_pile
1305;1484;dice_tomato_third_pile
1485;1664;dice_tomato_fourth_pile
1665;1844;dice_tomato_fifth_pile
1845;2024;dice_tomato_sixth_pile
2025;2174;dice_tomato_seventh_pile
2175;2234;pick_up_bowl
2235;2284;move_bowl_to_board
2285;2314;transfer_diced_tomato_into_bowl_first
2315;2354;transfer_diced_tomato_into_bowl_second
2355;2414;transfer_diced_tomato_into_bowl_third
2415;2444;transfer_diced_tomato_into_bowl_fourth
2445;2494;transfer_diced_tomato_into_bowl_fifth
2495;2534;transfer_diced_tomato_into_bowl_sixth
2535;2574;transfer_diced_tomato_into_bowl_seventh
2575;2614;transfer_diced_tomato_into_bowl_eighth
2615;2714;transfer_diced_tomato_into_bowl_ninth
2715;2804;transfer_diced_tomato_into_bowl_tenth
2805;2894;transfer_diced_tomato_into_bowl_eleventh
2895;3004;transfer_diced_tomato_into_bowl_twelfth
3005;3104;transfer_diced_tomato_into_bowl_thirteenth
3105;3194;transfer_diced_tomato_into_bowl_fourteenth
3195;3374;transfer_diced_tomato_into_bowl_fifteenth
3375;3404;place_knife_on_board
3405;3444;clean_cutting_board
3445;3494;reposition_knife
3495;3524;reach_for_cheese
3525;3584;pick_up_cheese_package
3585;3664;unwrap_cheese
3665;3724;place_cheese_on_board
3725;3754;pick_up_knife
3755;3814;cut_cheese_first_strip
3815;3884;cut_cheese_second_strip
3885;3944;cut_cheese_third_strip
3945;4004;dice_cheese_first_batch
4005;4074;dice_cheese_second_batch
4075;4144;dice_cheese_third_batch
4145;4214;dice_cheese_fourth_batch
4215;4284;dice_cheese_fifth_batch
4285;4354;dice_cheese_sixth_batch
4355;4424;dice_cheese_seventh_batch
4425;4494;dice_cheese_eighth_batch
4495;4564;dice_cheese_ninth_batch
4565;4634;dice_cheese_tenth_batch
4635;4714;dice_cheese_eleventh_batch
4715;4794;dice_cheese_twelfth_batch
4795;4884;dice_cheese_thirteenth_batch
4885;4964;dice_cheese_fourteenth_batch
4965;5044;dice_cheese_fifteenth_batch
5045;5124;dice_cheese_sixteenth_batch
5125;5204;dice_cheese_seventeenth_batch
5205;5284;dice_cheese_eighteenth_batch
5285;5364;dice_cheese_nineteenth_batch
5365;5404;transfer_diced_cheese_into_bowl_first
5405;5474;transfer_diced_cheese_into_bowl_second
5475;5534;transfer_diced_cheese_into_bowl_third
5535;5564;return_knife_to_block
5565;5624;reach_for_lettuce
5625;5684;pick_up_lettuce_bag
5685;5744;take_lettuce_out_of_bag
5745;5804;place_lettuce_on_board
5805;5864;pick_up_knife
5865;5924;cut_lettuce_first_batch
5925;5984;cut_lettuce_second_batch
5985;6044;cut_lettuce_third_batch
6045;6104;cut_lettuce_fourth_batch
6105;6164;cut_lettuce_fifth_batch
6165;6224;cut_lettuce_sixth_batch
6225;6284;cut_lettuce_seventh_batch
6285;6344;cut_lettuce_eighth_batch
6345;6404;cut_lettuce_ninth_batch
6405;6464;cut_lettuce_tenth_batch
6465;6524;cut_lettuce_eleventh_batch
6525;6584;cut_lettuce_twelfth_batch
6585;6644;cut_lettuce_thirteenth_batch
6645;6704;transfer_cut_lettuce_into_bowl_first
6705;6764;transfer_cut_lettuce_into_bowl_second
6765;6824;transfer_cut_lettuce_into_bowl_third
6825;6884;transfer_cut_lettuce_into_bowl_fourth
6885;6944;transfer_cut_lettuce_into_bowl_fifth
6945;6974;clean_cutting_board
6975;6994;place_knife_on_board
6995;7054;return_knife_to_block
7055;7114;discard_lettuce_waste
7115;7184;pick_up_croutons_bag
7185;7244;open_croutons_bag
7245;7304;pour_croutons_into_bowl
7305;7364;discard_croutons_bag
7365;7424;pick_up_dressing_bottle
7425;7484;open_dressing_bottle
7485;7574;pour_dressing_into_bowl
7575;7604;close_dressing_bottle
7605;7644;place_dressing_bottle
7645;7714;pick_up_pepper_grinder
7715;7794;grind_pepper_into_bowl
7795;7864;close_pepper_grinder
7865;7914;place_pepper_grinder
7915;7974;pick_up_salt_grinder
7975;8044;grind_salt_into_bowl
8045;8114;close_salt_grinder
8115;8174;place_salt_grinder
8175;8234;pick_up_olive_oil_bottle
8235;8294;open_olive_oil_bottle
8295;8354;pour_olive_oil_into_bowl
8355;8414;close_olive_oil_bottle
8415;8474;place_olive_oil_bottle
8475;8534;pick_up_vinegar_bottle
8535;8594;open_vinegar_bottle
8595;8684;pour_vinegar_into_bowl
8685;8744;close_vinegar_bottle
8745;8804;place_vinegar_bottle
8805;8864;pick_up_sugar_container
8865;8924;open_sugar_container
8925;9014;pour_sugar_into_bowl
9015;9074;close_sugar_container
9075;9134;place_sugar_container
9135;9194;pick_up_spoon
9195;9254;stir_salad_first_batch
9255;9314;stir_salad_second_batch
9315;9374;stir_salad_third_batch
9375;9434;stir_salad_fourth_batch
9435;9494;stir_salad_fifth_batch
9495;9554;stir_salad_sixth_batch
9555;9614;stir_salad_seventh_batch
9615;9674;stir_salad_eighth_batch
9675;9734;stir_salad_ninth_batch
9735;9794;stir_salad_tenth_batch
9795;9854;stir_salad_eleventh_batch
9855;9914;stir_salad_twelfth_batch
9915;9974;stir_salad_thirteenth_batch
9975;10034;stir_salad_fourteenth_batch
10035;10094;stir_salad_fifteenth_batch
10095;10154;stir_salad_sixteenth_batch
10155;10214;stir_salad_seventeenth_batch
10215;10274;stir_salad_eighteenth_batch
10275;10334;lift_salad_bowl
10335;10394;exit_with_bowl
10395;10994;person_leaves_scene
10995;11054;re-enter_with_bowl
11055;11114;place_bowl_on_counter
11115;11174;person_leaves_scene
11175;11234;person_re-enters_and_check_recipe
11235;11294;pick_up_pepper_grinder
11295;11354;grind_pepper_over_bowl_area
11355;11414;place_pepper_grinder
11415;11474;check_recipe_again
11475;11534;point_at_ingredients_first
11535;11604;point_at_ingredients_second
11605;11684;end_of_action
